Model Runner 运行  http://localhost:4000
[health] 🔴 ceotech 熔断开启（连续84次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续85次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续86次失败）
[health] 🔴 ceotech 熔断开启（连续87次失败）
[health] 🔴 ceotech 熔断开启（连续88次失败）
[health] 🔴 ceotech 熔断开启（连续89次失败）
[health] 🔴 ceotech 熔断开启（连续90次失败）
[health] 🔴 ceotech 熔断开启（连续91次失败）
[health] 🔴 ceotech 熔断开启（连续92次失败）
[health] 🔴 ceotech 熔断开启（连续93次失败）
[health] 🔴 ceotech 熔断开启（连续94次失败）
[health] 🔴 ceotech 熔断开启（连续95次失败）
[health] 🔴 ceotech 熔断开启（连续96次失败）
[health] 🔴 ceotech 熔断开启（连续97次失败）
[health] 🔴 ceotech 熔断开启（连续98次失败）
[health] 🔴 ceotech 熔断开启（连续99次失败）
[health] 🔴 ceotech 熔断开启（连续100次失败）
[health] 🔴 ceotech 熔断开启（连续101次失败）
[health] 🔴 ceotech 熔断开启（连续102次失败）
[health] 🔴 ceotech 熔断开启（连续103次失败）
[health] 🔴 ceotech 熔断开启（连续104次失败）
[health] 🔴 ceotech 熔断开启（连续105次失败）
[health] 🔴 ceotech 熔断开启（连续106次失败）
[health] 🔴 ceotech 熔断开启（连续107次失败）
[health] 🔴 ceotech 熔断开启（连续108次失败）
[health] 🔴 ceotech 熔断开启（连续109次失败）
[health] 🔴 ceotech 熔断开启（连续110次失败）
[health] 🔴 ceotech 熔断开启（连续111次失败）
[health] 🔴 ceotech 熔断开启（连续112次失败）
[health] 🔴 ceotech 熔断开启（连续113次失败）
[health] 🔴 ceotech 熔断开启（连续114次失败）
[health] 🔴 ceotech 熔断开启（连续115次失败）
[health] 🔴 ceotech 熔断开启（连续116次失败）
[health] 🔴 ceotech 熔断开启（连续117次失败）
[health] 🔴 ceotech 熔断开启（连续118次失败）
[health] 🔴 ceotech 熔断开启（连续119次失败）
[health] 🔴 ceotech 熔断开启（连续120次失败）
[health] 🔴 ceotech 熔断开启（连续121次失败）
[health] 🔴 ceotech 熔断开启（连续122次失败）
[health] 🔴 ceotech 熔断开启（连续123次失败）
[health] 🔴 ceotech 熔断开启（连续124次失败）
[health] 🔴 ceotech 熔断开启（连续125次失败）
[health] 🔴 ceotech 熔断开启（连续126次失败）
[health] 🔴 ceotech 熔断开启（连续127次失败）
[health] 🔴 ceotech 熔断开启（连续128次失败）
[health] 🔴 ceotech 熔断开启（连续129次失败）
[health] 🔴 ceotech 熔断开启（连续130次失败）
[health] 🔴 ceotech 熔断开启（连续131次失败）
[health] 🔴 ceotech 熔断开启（连续132次失败）
[health] 🔴 ceotech 熔断开启（连续133次失败）
[health] 🔴 ceotech 熔断开启（连续134次失败）
[health] 🔴 ceotech 熔断开启（连续135次失败）
[health] 🔴 ceotech 熔断开启（连续136次失败）
[health] 🔴 ceotech 熔断开启（连续137次失败）
[health] 🔴 ceotech 熔断开启（连续138次失败）
[health] 🔴 ceotech 熔断开启（连续139次失败）
[health] 🔴 ceotech 熔断开启（连续140次失败）
[health] 🔴 ceotech 熔断开启（连续141次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续142次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续143次失败）
[health] 🔴 ceotech 熔断开启（连续144次失败）
[health] 🔴 ceotech 熔断开启（连续145次失败）
[health] 🔴 ceotech 熔断开启（连续146次失败）
[health] 🔴 ceotech 熔断开启（连续147次失败）
[health] 🔴 ceotech 熔断开启（连续148次失败）
[health] 🔴 ceotech 熔断开启（连续149次失败）
[health] 🔴 ceotech 熔断开启（连续150次失败）
[health] 🔴 ceotech 熔断开启（连续151次失败）
[health] 🔴 ceotech 熔断开启（连续152次失败）
[health] 🔴 ceotech 熔断开启（连续153次失败）
[health] 🔴 ceotech 熔断开启（连续154次失败）
[health] 🔴 ceotech 熔断开启（连续155次失败）
[health] 🔴 ceotech 熔断开启（连续156次失败）
[health] 🔴 ceotech 熔断开启（连续157次失败）
[health] 🔴 ceotech 熔断开启（连续158次失败）
[health] 🔴 ceotech 熔断开启（连续159次失败）
[health] 🔴 ceotech 熔断开启（连续160次失败）
[health] 🔴 ceotech 熔断开启（连续161次失败）
[health] 🔴 ceotech 熔断开启（连续162次失败）
[health] 🔴 ceotech 熔断开启（连续163次失败）
[health] 🔴 ceotech 熔断开启（连续164次失败）
[health] 🔴 ceotech 熔断开启（连续165次失败）
[health] 🔴 ceotech 熔断开启（连续166次失败）
[health] 🔴 ceotech 熔断开启（连续167次失败）
[health] 🔴 ceotech 熔断开启（连续168次失败）
[health] 🔴 ceotech 熔断开启（连续169次失败）
[health] 🔴 ceotech 熔断开启（连续170次失败）
[health] 🔴 ceotech 熔断开启（连续171次失败）
[health] 🔴 ceotech 熔断开启（连续172次失败）
[health] 🔴 ceotech 熔断开启（连续173次失败）
[health] 🔴 ceotech 熔断开启（连续174次失败）
[health] 🔴 ceotech 熔断开启（连续175次失败）
[health] 🔴 ceotech 熔断开启（连续176次失败）
[health] 🔴 ceotech 熔断开启（连续177次失败）
[health] 🔴 ceotech 熔断开启（连续178次失败）
[health] 🔴 ceotech 熔断开启（连续179次失败）
[health] 🔴 ceotech 熔断开启（连续180次失败）
[health] 🔴 ceotech 熔断开启（连续181次失败）
[health] 🔴 ceotech 熔断开启（连续182次失败）
[health] 🔴 ceotech 熔断开启（连续183次失败）
[health] 🔴 ceotech 熔断开启（连续184次失败）
[health] 🔴 ceotech 熔断开启（连续185次失败）
[health] 🔴 ceotech 熔断开启（连续186次失败）
[health] 🔴 ceotech 熔断开启（连续187次失败）
[health] 🔴 ceotech 熔断开启（连续188次失败）
[health] 🔴 ceotech 熔断开启（连续189次失败）
[health] 🔴 ceotech 熔断开启（连续190次失败）
[health] 🔴 ceotech 熔断开启（连续191次失败）
[health] 🔴 ceotech 熔断开启（连续192次失败）
[health] 🔴 ceotech 熔断开启（连续193次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续194次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续195次失败）
[health] 🔴 ceotech 熔断开启（连续196次失败）
[health] 🔴 ceotech 熔断开启（连续197次失败）
[health] 🔴 ceotech 熔断开启（连续198次失败）
[health] 🔴 ceotech 熔断开启（连续199次失败）
[health] 🔴 ceotech 熔断开启（连续200次失败）
[health] 🔴 ceotech 熔断开启（连续201次失败）
[health] 🔴 ceotech 熔断开启（连续202次失败）
[health] 🔴 ceotech 熔断开启（连续203次失败）
[health] 🔴 ceotech 熔断开启（连续204次失败）
[health] 🔴 ceotech 熔断开启（连续205次失败）
[health] 🔴 ceotech 熔断开启（连续206次失败）
[health] 🔴 ceotech 熔断开启（连续207次失败）
[health] 🔴 ceotech 熔断开启（连续208次失败）
[health] 🔴 ceotech 熔断开启（连续209次失败）
[health] 🔴 ceotech 熔断开启（连续210次失败）
[health] 🔴 ceotech 熔断开启（连续211次失败）
[health] 🔴 ceotech 熔断开启（连续212次失败）
[health] 🔴 ceotech 熔断开启（连续213次失败）
[health] 🔴 ceotech 熔断开启（连续214次失败）
[health] 🔴 ceotech 熔断开启（连续215次失败）
[health] 🔴 ceotech 熔断开启（连续216次失败）
[health] 🔴 ceotech 熔断开启（连续217次失败）
[health] 🔴 ceotech 熔断开启（连续218次失败）
[health] 🔴 ceotech 熔断开启（连续219次失败）
[health] 🔴 ceotech 熔断开启（连续220次失败）
[health] 🔴 ceotech 熔断开启（连续221次失败）
[health] 🔴 ceotech 熔断开启（连续222次失败）
[health] 🔴 ceotech 熔断开启（连续223次失败）
[health] 🔴 ceotech 熔断开启（连续224次失败）
[health] 🔴 ceotech 熔断开启（连续225次失败）
[health] 🔴 ceotech 熔断开启（连续226次失败）
[health] 🔴 ceotech 熔断开启（连续227次失败）
[health] 🔴 ceotech 熔断开启（连续228次失败）
[health] 🔴 ceotech 熔断开启（连续229次失败）
[health] 🔴 ceotech 熔断开启（连续230次失败）
[health] 🔴 ceotech 熔断开启（连续231次失败）
[health] 🔴 ceotech 熔断开启（连续232次失败）
[health] 🔴 ceotech 熔断开启（连续233次失败）
[health] 🔴 ceotech 熔断开启（连续234次失败）
[health] 🔴 ceotech 熔断开启（连续235次失败）
[health] 🔴 ceotech 熔断开启（连续236次失败）
[health] 🔴 ceotech 熔断开启（连续237次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续238次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续239次失败）
[health] 🔴 ceotech 熔断开启（连续240次失败）
[health] 🔴 ceotech 熔断开启（连续241次失败）
[health] 🔴 ceotech 熔断开启（连续242次失败）
[health] 🔴 ceotech 熔断开启（连续243次失败）
[health] 🔴 ceotech 熔断开启（连续244次失败）
[health] 🔴 ceotech 熔断开启（连续245次失败）
[health] 🔴 ceotech 熔断开启（连续246次失败）
[health] 🔴 ceotech 熔断开启（连续247次失败）
[health] 🔴 ceotech 熔断开启（连续248次失败）
[health] 🔴 ceotech 熔断开启（连续249次失败）
[health] 🔴 ceotech 熔断开启（连续250次失败）
[health] 🔴 ceotech 熔断开启（连续251次失败）
[health] 🔴 ceotech 熔断开启（连续252次失败）
[health] 🔴 ceotech 熔断开启（连续253次失败）
[health] 🔴 ceotech 熔断开启（连续254次失败）
[health] 🔴 ceotech 熔断开启（连续255次失败）
[health] 🔴 ceotech 熔断开启（连续256次失败）
[health] 🔴 ceotech 熔断开启（连续257次失败）
[health] 🔴 ceotech 熔断开启（连续258次失败）
[health] 🔴 ceotech 熔断开启（连续259次失败）
[health] 🔴 ceotech 熔断开启（连续260次失败）
[health] 🔴 ceotech 熔断开启（连续261次失败）
[health] 🔴 ceotech 熔断开启（连续262次失败）
[health] 🔴 ceotech 熔断开启（连续263次失败）
[health] 🔴 ceotech 熔断开启（连续264次失败）
[health] 🔴 ceotech 熔断开启（连续265次失败）
[health] 🔴 ceotech 熔断开启（连续266次失败）
[health] 🔴 ceotech 熔断开启（连续267次失败）
[health] 🔴 ceotech 熔断开启（连续268次失败）
[health] 🔴 ceotech 熔断开启（连续269次失败）
[health] 🔴 ceotech 熔断开启（连续270次失败）
[health] 🔴 ceotech 熔断开启（连续271次失败）
[health] 🔴 ceotech 熔断开启（连续272次失败）
[health] 🔴 ceotech 熔断开启（连续273次失败）
[health] 🔴 ceotech 熔断开启（连续274次失败）
[health] 🔴 ceotech 熔断开启（连续275次失败）
[health] 🔴 ceotech 熔断开启（连续276次失败）
[health] 🔴 ceotech 熔断开启（连续277次失败）
[health] 🔴 ceotech 熔断开启（连续278次失败）
[health] 🔴 ceotech 熔断开启（连续279次失败）
[health] 🔴 ceotech 熔断开启（连续280次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续281次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续282次失败）
[health] 🔴 ceotech 熔断开启（连续283次失败）
[health] 🔴 ceotech 熔断开启（连续284次失败）
GET /health
[health] 🔴 ceotech 熔断开启（连续285次失败）
[health] 🔴 ceotech 熔断开启（连续286次失败）
[health] 🔴 ceotech 熔断开启（连续287次失败）
[health] 🔴 ceotech 熔断开启（连续288次失败）
[health] 🔴 ceotech 熔断开启（连续289次失败）
[health] 🔴 ceotech 熔断开启（连续290次失败）
[health] 🔴 ceotech 熔断开启（连续291次失败）
[health] 🔴 ceotech 熔断开启（连续292次失败）
[health] 🔴 ceotech 熔断开启（连续293次失败）
[health] 🔴 ceotech 熔断开启（连续294次失败）
[health] 🔴 ceotech 熔断开启（连续295次失败）
[health] 🔴 ceotech 熔断开启（连续296次失败）
[health] 🔴 ceotech 熔断开启（连续297次失败）
[health] 🔴 ceotech 熔断开启（连续298次失败）
[health] 🔴 ceotech 熔断开启（连续299次失败）
[health] 🔴 ceotech 熔断开启（连续300次失败）
[health] 🔴 ceotech 熔断开启（连续301次失败）
[health] 🔴 ceotech 熔断开启（连续302次失败）
[health] 🔴 ceotech 熔断开启（连续303次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续304次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续305次失败）
[health] 🔴 ceotech 熔断开启（连续306次失败）
[health] 🔴 ceotech 熔断开启（连续307次失败）
[health] 🔴 ceotech 熔断开启（连续308次失败）
[health] 🔴 ceotech 熔断开启（连续309次失败）
[health] 🔴 ceotech 熔断开启（连续310次失败）
[health] 🔴 ceotech 熔断开启（连续311次失败）
[health] 🔴 ceotech 熔断开启（连续312次失败）
[health] 🔴 ceotech 熔断开启（连续313次失败）
[health] 🔴 ceotech 熔断开启（连续314次失败）
[health] 🔴 ceotech 熔断开启（连续315次失败）
[health] 🔴 ceotech 熔断开启（连续316次失败）
[health] 🔴 ceotech 熔断开启（连续317次失败）
[health] 🔴 ceotech 熔断开启（连续318次失败）
[health] 🔴 ceotech 熔断开启（连续319次失败）
[health] 🔴 ceotech 熔断开启（连续320次失败）
[health] 🔴 ceotech 熔断开启（连续321次失败）
[health] 🔴 ceotech 熔断开启（连续322次失败）
[health] 🔴 ceotech 熔断开启（连续323次失败）
[health] 🔴 ceotech 熔断开启（连续324次失败）
[health] 🔴 ceotech 熔断开启（连续325次失败）
[health] 🔴 ceotech 熔断开启（连续326次失败）
[health] 🔴 ceotech 熔断开启（连续327次失败）
[health] 🔴 ceotech 熔断开启（连续328次失败）
[health] 🔴 ceotech 熔断开启（连续329次失败）
[health] 🔴 ceotech 熔断开启（连续330次失败）
[health] 🔴 ceotech 熔断开启（连续331次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续332次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续333次失败）
[health] 🔴 ceotech 熔断开启（连续334次失败）
[health] 🔴 ceotech 熔断开启（连续335次失败）
[health] 🔴 ceotech 熔断开启（连续336次失败）
[health] 🔴 ceotech 熔断开启（连续337次失败）
[health] 🔴 ceotech 熔断开启（连续338次失败）
[health] 🔴 ceotech 熔断开启（连续339次失败）
[health] 🔴 ceotech 熔断开启（连续340次失败）
[health] 🔴 ceotech 熔断开启（连续341次失败）
[health] 🔴 ceotech 熔断开启（连续342次失败）
[health] 🔴 ceotech 熔断开启（连续343次失败）
[health] 🔴 ceotech 熔断开启（连续344次失败）
[health] 🔴 ceotech 熔断开启（连续345次失败）
[health] 🔴 ceotech 熔断开启（连续346次失败）
[health] 🔴 ceotech 熔断开启（连续347次失败）
[health] 🔴 ceotech 熔断开启（连续348次失败）
[health] 🔴 ceotech 熔断开启（连续349次失败）
[health] 🔴 ceotech 熔断开启（连续350次失败）
[health] 🔴 ceotech 熔断开启（连续351次失败）
[health] 🔴 ceotech 熔断开启（连续352次失败）
[health] 🔴 ceotech 熔断开启（连续353次失败）
[health] 🔴 ceotech 熔断开启（连续354次失败）
[health] 🔴 ceotech 熔断开启（连续355次失败）
[health] 🔴 ceotech 熔断开启（连续356次失败）
[health] 🔴 ceotech 熔断开启（连续357次失败）
[health] 🔴 ceotech 熔断开启（连续358次失败）
[health] 🔴 ceotech 熔断开启（连续359次失败）
[health] 🔴 ceotech 熔断开启（连续360次失败）
[health] 🔴 ceotech 熔断开启（连续361次失败）
[health] 🔴 ceotech 熔断开启（连续362次失败）
[health] 🔴 ceotech 熔断开启（连续363次失败）
[health] 🔴 ceotech 熔断开启（连续364次失败）
[health] 🔴 ceotech 熔断开启（连续365次失败）
[health] 🔴 ceotech 熔断开启（连续366次失败）
[health] 🔴 ceotech 熔断开启（连续367次失败）
[health] 🔴 ceotech 熔断开启（连续368次失败）
[health] 🔴 ceotech 熔断开启（连续369次失败）
[health] 🔴 ceotech 熔断开启（连续370次失败）
[health] 🔴 ceotech 熔断开启（连续371次失败）
[health] 🔴 ceotech 熔断开启（连续372次失败）
[health] 🔴 ceotech 熔断开启（连续373次失败）
[health] 🔴 ceotech 熔断开启（连续374次失败）
[health] 🔴 ceotech 熔断开启（连续375次失败）
[health] 🔴 ceotech 熔断开启（连续376次失败）
[health] 🔴 ceotech 熔断开启（连续377次失败）
[health] 🔴 ceotech 熔断开启（连续378次失败）
[health] 🔴 ceotech 熔断开启（连续379次失败）
[health] 🔴 ceotech 熔断开启（连续380次失败）
[health] 🔴 ceotech 熔断开启（连续381次失败）
[health] 🔴 ceotech 熔断开启（连续382次失败）
[health] 🔴 ceotech 熔断开启（连续383次失败）
[health] 🔴 ceotech 熔断开启（连续384次失败）
[health] 🔴 ceotech 熔断开启（连续385次失败）
[health] 🔴 ceotech 熔断开启（连续386次失败）
[health] 🔴 ceotech 熔断开启（连续387次失败）
[health] 🔴 ceotech 熔断开启（连续388次失败）
[health] 🔴 ceotech 熔断开启（连续389次失败）
[health] 🔴 ceotech 熔断开启（连续390次失败）
[health] 🔴 ceotech 熔断开启（连续391次失败）
[health] 🔴 ceotech 熔断开启（连续392次失败）
[health] 🔴 ceotech 熔断开启（连续393次失败）
[health] 🔴 ceotech 熔断开启（连续394次失败）
[health] 🔴 ceotech 熔断开启（连续395次失败）
[health] 🔴 ceotech 熔断开启（连续396次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续397次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续398次失败）
[health] 🔴 ceotech 熔断开启（连续399次失败）
[health] 🔴 ceotech 熔断开启（连续400次失败）
[health] 🔴 ceotech 熔断开启（连续401次失败）
[health] 🔴 ceotech 熔断开启（连续402次失败）
[health] 🔴 ceotech 熔断开启（连续403次失败）
[health] 🔴 ceotech 熔断开启（连续404次失败）
[health] 🔴 ceotech 熔断开启（连续405次失败）
[health] 🔴 ceotech 熔断开启（连续406次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续407次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续408次失败）
[health] 🔴 ceotech 熔断开启（连续409次失败）
[health] 🔴 ceotech 熔断开启（连续410次失败）
[health] 🔴 ceotech 熔断开启（连续411次失败）
[health] 🔴 ceotech 熔断开启（连续412次失败）
[health] 🔴 ceotech 熔断开启（连续413次失败）
[health] 🔴 ceotech 熔断开启（连续414次失败）
[health] 🔴 ceotech 熔断开启（连续415次失败）
[health] 🔴 ceotech 熔断开启（连续416次失败）
[health] 🔴 ceotech 熔断开启（连续417次失败）
[health] 🔴 ceotech 熔断开启（连续418次失败）
[health] 🔴 ceotech 熔断开启（连续419次失败）
[health] 🔴 ceotech 熔断开启（连续420次失败）
[health] 🔴 ceotech 熔断开启（连续421次失败）
[health] 🔴 ceotech 熔断开启（连续422次失败）
[health] 🔴 ceotech 熔断开启（连续423次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续424次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续425次失败）
POST /chat
[retry 1/2] status=503
[retry 2/2] status=503
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续426次失败）
[health] 🔴 ceotech 熔断开启（连续427次失败）
[health] 🔴 ceotech 熔断开启（连续428次失败）
[health] 🔴 ceotech 熔断开启（连续429次失败）
[health] 🔴 ceotech 熔断开启（连续430次失败）
[health] 🔴 ceotech 熔断开启（连续431次失败）
[health] 🔴 ceotech 熔断开启（连续432次失败）
[health] 🔴 ceotech 熔断开启（连续433次失败）
[health] 🔴 ceotech 熔断开启（连续434次失败）
[health] 🔴 ceotech 熔断开启（连续435次失败）
[health] 🔴 ceotech 熔断开启（连续436次失败）
[health] 🔴 ceotech 熔断开启（连续437次失败）
[health] 🔴 ceotech 熔断开启（连续438次失败）
[health] 🔴 ceotech 熔断开启（连续439次失败）
[health] 🔴 ceotech 熔断开启（连续440次失败）
[health] 🔴 ceotech 熔断开启（连续441次失败）
[health] 🔴 ceotech 熔断开启（连续442次失败）
[health] 🔴 ceotech 熔断开启（连续443次失败）
[health] 🔴 ceotech 熔断开启（连续444次失败）
[health] 🔴 ceotech 熔断开启（连续445次失败）
[health] 🔴 ceotech 熔断开启（连续446次失败）
[health] 🔴 ceotech 熔断开启（连续447次失败）
[health] 🔴 ceotech 熔断开启（连续448次失败）
[health] 🔴 ceotech 熔断开启（连续449次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续450次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续451次失败）
[health] 🔴 ceotech 熔断开启（连续452次失败）
[health] 🔴 ceotech 熔断开启（连续453次失败）
[health] 🔴 ceotech 熔断开启（连续454次失败）
[health] 🔴 ceotech 熔断开启（连续455次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续456次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续457次失败）
[health] 🔴 ceotech 熔断开启（连续458次失败）
[health] 🔴 ceotech 熔断开启（连续459次失败）
[health] 🔴 ceotech 熔断开启（连续460次失败）
[health] 🔴 ceotech 熔断开启（连续461次失败）
[health] 🔴 ceotech 熔断开启（连续462次失败）
[health] 🔴 ceotech 熔断开启（连续463次失败）
[health] 🔴 ceotech 熔断开启（连续464次失败）
[health] 🔴 ceotech 熔断开启（连续465次失败）
[health] 🔴 ceotech 熔断开启（连续466次失败）
[health] 🔴 ceotech 熔断开启（连续467次失败）
[health] 🔴 ceotech 熔断开启（连续468次失败）
[health] 🔴 ceotech 熔断开启（连续469次失败）
[health] 🔴 ceotech 熔断开启（连续470次失败）
[health] 🔴 ceotech 熔断开启（连续471次失败）
[health] 🔴 ceotech 熔断开启（连续472次失败）
[health] 🔴 ceotech 熔断开启（连续473次失败）
[health] 🔴 ceotech 熔断开启（连续474次失败）
[health] 🔴 ceotech 熔断开启（连续475次失败）
[health] 🔴 ceotech 熔断开启（连续476次失败）
[health] 🔴 ceotech 熔断开启（连续477次失败）
[health] 🔴 ceotech 熔断开启（连续478次失败）
[health] 🔴 ceotech 熔断开启（连续479次失败）
[health] 🔴 ceotech 熔断开启（连续480次失败）
[health] 🔴 ceotech 熔断开启（连续481次失败）
[health] 🔴 ceotech 熔断开启（连续482次失败）
[health] 🔴 ceotech 熔断开启（连续483次失败）
[health] 🔴 ceotech 熔断开启（连续484次失败）
[health] 🔴 ceotech 熔断开启（连续485次失败）
[health] 🔴 ceotech 熔断开启（连续486次失败）
[health] 🔴 ceotech 熔断开启（连续487次失败）
[health] 🔴 ceotech 熔断开启（连续488次失败）
[health] 🔴 ceotech 熔断开启（连续489次失败）
[health] 🔴 ceotech 熔断开启（连续490次失败）
[health] 🔴 ceotech 熔断开启（连续491次失败）
[health] 🔴 ceotech 熔断开启（连续492次失败）
[health] 🔴 ceotech 熔断开启（连续493次失败）
